kind,target_ts,value_mw,publish_time,captured_at
wind_offshore,1787386500,4241.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787387400,4263.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787388300,4284.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787389200,4304.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787390100,4327.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787391000,4386.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787391900,4400.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787392800,4419.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787393700,4451.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787394600,4482.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787395500,4513.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787396400,4546.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787397300,4575.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787398200,4605.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787399100,4637.3,,2026-08-22T05:59:07+00:00
wind_offshore,1787400000,4667.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787400900,4711.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787401800,4705.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787402700,4748.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787403600,4801.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787404500,4854.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787405400,4905.9,,2026-08-22T05:59:07+00:00
wind_offshore,1787406300,4958.9,,2026-08-22T05:59:07+00:00
wind_offshore,1787407200,5024.2,,2026-08-22T05:59:07+00:00
wind_offshore,1787408100,5086.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787409000,5134.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787409900,5193.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787410800,5342.0,,2026-08-22T05:59:07+00:00
wind_offshore,1787411700,5414.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787412600,5486.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787413500,5675.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787414400,5745.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787415300,5813.9,,2026-08-22T05:59:07+00:00
wind_offshore,1787416200,5876.2,,2026-08-22T05:59:07+00:00
wind_offshore,1787417100,5932.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787418000,5972.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787418900,6006.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787419800,6037.1,,2026-08-22T05:59:07+00:00
wind_offshore,1787420700,6069.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787421600,6090.8,,2026-08-22T05:59:07+00:00
wind_offshore,1787422500,6413.9,,2026-08-22T05:59:07+00:00
wind_offshore,1787423400,6419.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787424300,6632.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787425200,6674.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787426100,6687.5,,2026-08-22T05:59:07+00:00
wind_offshore,1787427000,6657.4,,2026-08-22T05:59:07+00:00
wind_offshore,1787427900,6624.2,,2026-08-22T05:59:07+00:00
wind_offshore,1787428800,6591.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787429700,6555.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787430600,6521.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787431500,6491.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787432400,6464.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787433300,6464.6,,2026-08-22T05:59:07+00:00
wind_offshore,1787434200,6464.7,,2026-08-22T05:59:07+00:00
wind_offshore,1787435100,6461.8,,2026-08-22T05:59:07+00:00
wind_onshore,1787349600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787350500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787351400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787352300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787353200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787354100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787355000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787355900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787356800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787357700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787358600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787359500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787360400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787361300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787362200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787363100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787364000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787364900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787365800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787366700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787367600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787368500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787369400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787370300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787371200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787372100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787373000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787373900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787374800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787375700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787376600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787377500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787378400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787379300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787380200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787381100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787382000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787382900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787383800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787384700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787385600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787386500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787387400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787388300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787389200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787390100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787391000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787391900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787392800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787393700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787394600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787395500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787396400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787397300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787398200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787399100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787400000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787400900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787401800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787402700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787403600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787404500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787405400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787406300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787407200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787408100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787409000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787409900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787410800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787411700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787412600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787413500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787414400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787415300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787416200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787417100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787418000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787418900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787419800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787420700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787421600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787422500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787423400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787424300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787425200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787426100,,,2026-08-22T05:59:07+00:00
wind_onshore,1787427000,,,2026-08-22T05:59:07+00:00
wind_onshore,1787427900,,,2026-08-22T05:59:07+00:00
wind_onshore,1787428800,,,2026-08-22T05:59:07+00:00
wind_onshore,1787429700,,,2026-08-22T05:59:07+00:00
wind_onshore,1787430600,,,2026-08-22T05:59:07+00:00
wind_onshore,1787431500,,,2026-08-22T05:59:07+00:00
wind_onshore,1787432400,,,2026-08-22T05:59:07+00:00
wind_onshore,1787433300,,,2026-08-22T05:59:07+00:00
wind_onshore,1787434200,,,2026-08-22T05:59:07+00:00
wind_onshore,1787435100,,,2026-08-22T05:59:07+00:00
